"Strategy_name","Test_period","value","variable","KPI"
"first_EW_top4","2020",-1.4541,"Skewness","Distributions"
"first_EW_top4","2020",14.0844,"Kurtosis","Distributions"
"first_EW_top4","2020",11.0844,"Excess kurtosis","Distributions"
"first_EW_top4","2020",-1.4661,"Sample skewness","Distributions"
"first_EW_top4","2020",11.2539,"Sample excess kurtosis","Distributions"
"first_EW_top4","2020",0.0398,"Semi Deviation","DownsideRisk"
"first_EW_top4","2020",0.0303,"Gain Deviation","DownsideRisk"
"first_EW_top4","2020",0.0438,"Loss Deviation","DownsideRisk"
"first_EW_top4","2020",0.0388,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_EW_top4","2020",0.0388,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_EW_top4","2020",0.0388,"Downside Deviation (0%)","DownsideRisk"
"first_EW_top4","2020",0.7135,"Maximum Drawdown","DownsideRisk"
"first_EW_top4","2020",-0.0791,"Historical VaR (95%)","DownsideRisk"
"first_EW_top4","2020",-0.1242,"Historical ES (95%)","DownsideRisk"
"first_EW_top4","2020",-0.0905,"Modified VaR (95%)","DownsideRisk"
"first_EW_top4","2020",-0.2395,"Modified ES (95%)","DownsideRisk"
"first_EW_top4","2020",0.0388,"daily downside risk","DownsideRiskRatio"
"first_EW_top4","2020",0.6152,"Annualised downside risk","DownsideRiskRatio"
"first_EW_top4","2020",0.017,"Downside potential","DownsideRiskRatio"
"first_EW_top4","2020",1.1316,"Omega","DownsideRiskRatio"
"first_EW_top4","2020",0.0577,"Sortino ratio","DownsideRiskRatio"
"first_EW_top4","2020",0.0192,"Upside potential","DownsideRiskRatio"
"first_EW_top4","2020",0.6069,"Upside potential ratio","DownsideRiskRatio"
"first_EW_top4","2020",0.1316,"Omega-sharpe ratio","DownsideRiskRatio"
"first_EW_bottom4","2020",0.515502165248794,"Total Return","TotalReturn"
"first_EW_bottom4","2020",0.3314,"Annualized Return","AnnualizedReturns"
"first_EW_bottom4","2020",0.6169,"Annualized Std Dev","AnnualizedReturns"
"first_EW_bottom4","2020",0.5182,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_EW_bottom4","2020",0.0389,"daily  Std Dev","Distributions"
"first_EW_bottom4","2020",-3.283,"Skewness","Distributions"
"first_EW_bottom4","2020",37.206,"Kurtosis","Distributions"
"first_EW_bottom4","2020",34.206,"Excess kurtosis","Distributions"
"first_EW_bottom4","2020",-3.3101,"Sample skewness","Distributions"
"first_EW_bottom4","2020",34.6945,"Sample excess kurtosis","Distributions"
"first_EW_bottom4","2020",0.0316,"Semi Deviation","DownsideRisk"
"first_EW_bottom4","2020",0.0209,"Gain Deviation","DownsideRisk"
"first_EW_bottom4","2020",0.0391,"Loss Deviation","DownsideRisk"
"first_EW_bottom4","2020",0.0308,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_EW_bottom4","2020",0.0308,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_EW_bottom4","2020",0.0308,"Downside Deviation (0%)","DownsideRisk"
"first_EW_bottom4","2020",0.6239,"Maximum Drawdown","DownsideRisk"
"first_EW_bottom4","2020",-0.0546,"Historical VaR (95%)","DownsideRisk"
"first_EW_bottom4","2020",-0.0947,"Historical ES (95%)","DownsideRisk"
"first_EW_bottom4","2020",-0.0634,"Modified VaR (95%)","DownsideRisk"
"first_EW_bottom4","2020",-0.1801,"Modified ES (95%)","DownsideRisk"
"first_EW_bottom4","2020",0.0308,"daily downside risk","DownsideRiskRatio"
"first_EW_bottom4","2020",0.4894,"Annualised downside risk","DownsideRiskRatio"
"first_EW_bottom4","2020",0.0113,"Downside potential","DownsideRiskRatio"
"first_EW_bottom4","2020",1.1747,"Omega","DownsideRiskRatio"
"first_EW_bottom4","2020",0.0643,"Sortino ratio","DownsideRiskRatio"
"first_EW_bottom4","2020",0.0133,"Upside potential","DownsideRiskRatio"
"first_EW_bottom4","2020",0.4918,"Upside potential ratio","DownsideRiskRatio"
"first_EW_bottom4","2020",0.1747,"Omega-sharpe ratio","DownsideRiskRatio"
